file,RandomForest(before preprocessing),KNN,RandomForest(after preprocessing)
commons-dbcp-1.1_aggregated.csv,0.20327794218074208,0.4229659549913445,0.6207811907470611
commons-dbcp-1.2_aggregated.csv,0.1525976142363601,0.2435830629843169,0.22821640811916336
commons-dbcp-1.3_aggregated.csv,0.5469842091638623,0.8421841710723585,0.8421841710723585
commons-dbcp-1.4_aggregated.csv,0.7787800951245591,0.8613325937738334,0.8613325937738334
commons-dbcp-2.0_aggregated.csv,0.578922040423484,0.6610169491525424,0.6687644915534945
commons-dbcp-2.1_aggregated.csv,0.3331851522560569,0.5679039018277664,0.5708891177480261
commons-dbcp-2.2.0_aggregated.csv,0.9174508832755488,1.0,0.9174508832755488
commons-dbcp-2.3.0_aggregated.csv,0.9177766814668641,0.9177766814668641,0.9177766814668641
commons-dbcp-2.4.0_aggregated.csv,1.0,1.0,1.0
commons-dbcp-2.5.0_aggregated.csv,1.0,1.0,1.0
commons-digester-1.0_aggregated.csv,-1.0,-1.0,-1.0
commons-digester-1.1_aggregated.csv,-1.0,-1.0,-1.0
commons-digester-1.2_aggregated.csv,-1.0,-1.0,-1.0
commons-digester-1.3_aggregated.csv,-1.0,-1.0,-1.0
commons-digester-1.4_aggregated.csv,1.0,1.0,1.0
commons-digester-1.5_aggregated.csv,1.0,0.7696383321815251,1.0
commons-digester-1.6_aggregated.csv,1.0,1.0,1.0
commons-digester-1.7_aggregated.csv,1.0,1.0,1.0
commons-digester-1.8_aggregated.csv,1.0,0.8351195383347073,1.0
commons-digester-2.0_aggregated.csv,-1.0,-1.0,-1.0
commons-digester-2.1_aggregated.csv,-1.0,-1.0,-1.0
commons-digester-3.0_aggregated.csv,0.9009802950787208,1.0,1.0
commons-digester-3.1_aggregated.csv,1.0,1.0,1.0
commons-digester-3.2_aggregated.csv,0.7064435637751357,0.4387627837365927,0.5561004481271666
commons-io-1.0_aggregated.csv,0.3635302853505887,1.0,1.0
commons-io-1.1_aggregated.csv,0.3854662774619757,1.0,1.0
commons-io-1.2_aggregated.csv,0.3819275619102559,0.6042290948154011,1.0
commons-io-1.3_aggregated.csv,0.2310058443555829,0.2572418915573162,0.5682210708117443
commons-io-1.4_aggregated.csv,0.2181391712275215,0.2749419953596288,0.2791234140715109
commons-io-2.0_aggregated.csv,0.6349032493610807,0.7179258144892107,0.6349032493610807
commons-io-2.1_aggregated.csv,0.8543293322456591,1.0,1.0
commons-io-2.2_aggregated.csv,1.0,1.0,1.0
commons-io-2.3_aggregated.csv,1.0,1.0,1.0
commons-io-2.4_aggregated.csv,0.7524854585206879,0.8624024531676919,0.7524854585206879
commons-io-2.5_aggregated.csv,0.7465359918891518,-0.26253687315634217,0.506578947368421
commons-jcs-1.0_aggregated.csv,-1.0,1.0,-1.0
commons-jcs-1.1_aggregated.csv,-1.0,-1.0,-1.0
commons-jcs-1.3_aggregated.csv,-1.0,0.473407056345445,-1.0
commons-jcs-2.0_aggregated.csv,0.9697690908191476,0.9697690908191476,0.9697690908191476
commons-jcs-2.1_aggregated.csv,1.0,1.0,1.0
commons-jcs-2.2_aggregated.csv,0.9446795563300416,1.0,1.0
commons-jexl-1.0_aggregated.csv,-1.0,-1.0,-1.0
commons-jexl-1.1_aggregated.csv,-1.0,-1.0,-1.0
commons-jexl-2.0_aggregated.csv,-1.0,0.5448338643604915,1.0
commons-jexl-2.1_aggregated.csv,-1.0,-1.0,-1.0
commons-jexl-3.0_aggregated.csv,-1.0,-1.0,-1.0
commons-jexl-3.1_aggregated.csv,-1.0,-1.0,-1.0
commons-lang-1.0_aggregated.csv,-1.0,-1.0,-1.0
commons-lang-2.0_aggregated.csv,0.6676268557500554,0.6341552645057438,0.5940322744341825
commons-lang-2.1_aggregated.csv,0.5653028907357767,0.5139001412004351,0.5716471188169302
commons-lang-2.2_aggregated.csv,0.5960901526779222,0.647587442365863,0.6919387479442836
commons-lang-2.3_aggregated.csv,0.6821066503288752,0.732751325108013,0.7817351495953705
commons-lang-2.4_aggregated.csv,0.6256492645567843,0.6342720351098847,0.7276540116564083
commons-lang-2.5_aggregated.csv,0.8205695634713809,1.0,0.935115962194234
commons-lang-2.6_aggregated.csv,0.8562564385136916,1.0,1.0
commons-lang-3.0_aggregated.csv,0.677137204947432,0.7329475909647268,0.8268890181056332
commons-lang-3.1_aggregated.csv,0.5499661238236064,0.5870899826214795,0.6483578310711021
commons-lang-3.2_aggregated.csv,0.6159754224270353,0.7165851849073275,0.6159754224270353
commons-lang-3.3_aggregated.csv,0.8618262880092853,0.9261686124313598,1.0
commons-lang-3.4_aggregated.csv,0.7364085667215815,0.8079084107302362,0.7674445645980861
